unitid,academicyear,instname,cpi_scalar_2012,hepi_scalar_2012,fte_count,tuition03,net_student_tuition,federal10,state09,private03,auxiliary03,other05,grant01,grant02,grant03,grant07,institutional_grant_aid,instruction01,research01,pubserv01,acadsupp01,studserv01,instsupp01,auxiliary01,opermain01,grants01,eandg01,eandg01_sum,eandg01_w_auxother_sum
226833,2000,Midwestern State University,0.7439632632434692,0.671555252387449,4568.735165,18340296.0,9066331.0,3143393.0,25615296.0,2492195.0,3966874.0,1111111.0,2447932.0,105024.0,4088982.0,9273966.0,2632028.0,17794428.0,107823.0,567739.0,3340480.0,1903457.0,3684234.0,5683461.0,3417602.0,9273966.0,47533352.0,40089729.0,45773190.0
226833,2001,Midwestern State University,0.7694504866741371,0.7118008185538879,4619.128828,18584314.0,9254009.0,3518038.0,23710928.0,2250351.0,4125940.0,1558273.0,2762697.0,163003.0,3835041.0,9330305.0,2569564.0,18584608.0,91230.0,680258.0,2800090.0,2030875.0,3732969.0,5997781.0,3828165.0,9330305.0,46006480.0,41078500.0,47076281.0
226833,2002,Midwestern State University,0.783072968162942,0.725443383356071,4732.71023,19499818.0,8056990.0,4103435.0,23194092.0,1182191.0,4228136.0,1529115.0,3409741.0,120914.0,732102.0,11442828.0,7180071.0,20325672.0,86825.0,771247.0,3137443.0,2397341.0,4943026.0,7093448.0,4131418.0,4701250.0,40494220.0,40494222.0,48481284.0
226833,2003,Midwestern State University,0.8002109287456329,0.7622783083219651,4870.0784060000005,18263396.0,9223334.0,4726308.0,23094184.0,2323488.0,4585548.0,2040453.0,3978806.0,95702.0,1101475.0,9040061.0,3864078.0,21249694.0,81080.0,743286.0,3438686.0,2530129.0,5723713.0,7208518.0,4537886.0,5942148.0,44246624.0,44246622.0,51942184.0
226833,2004,Midwestern State University,0.8177883242150591,0.790245566166439,5040.267651,21192092.0,11860069.0,5398073.0,22459404.0,2293662.0,3893003.0,1287449.0,4443011.0,105536.0,1083300.0,9332023.0,3700176.0,20778278.0,129387.0,788735.0,3428590.0,2818604.0,5932135.0,6898643.0,4772350.0,6151519.0,44799600.0,44799598.0,51812419.0
226833,2005,Midwestern State University,0.842396677872256,0.821282401091405,5018.93535,22342760.0,12775372.0,5532231.0,22905496.0,2509958.0,4414182.0,1560778.0,4669418.0,136939.0,1152923.0,9567388.0,3608108.0,22212164.0,72656.0,669219.0,3818440.0,2960863.0,5660795.0,7382058.0,4883897.0,5799313.0,46077344.0,46077347.0,54004068.0
226833,2006,Midwestern State University,0.8744754246039592,0.863233287858117,4995.611493,25699536.0,15179427.0,5474108.0,24542060.0,3281833.0,5358971.0,1956967.0,4535459.0,248980.0,1175140.0,10520109.0,4560530.0,24102828.0,52961.0,808282.0,4554578.0,3354020.0,5735353.0,8460765.0,5116117.0,6390722.0,50114860.0,50114861.0,58957694.0
226833,2007,Midwestern State University,0.897053589084437,0.887789904502046,4820.17138671875,25466466.0,14074097.5625,5575646.0,24258096.0,3018828.0,5294649.0,2014493.0,4440950.0,1134696.0,1532515.0,10555253.0,4284207.4375,24889658.0,15823.0,1014248.0,4754621.0,3423882.0,6087616.0,9082342.0,6522198.0,6082334.0,52790380.0,52790380.0,62598713.0
226833,2008,Midwestern State University,0.930292443917123,0.9317871759890859,4816.84929,30323468.0,18878301.0,6483756.0,25031905.0,3586983.0,5563946.0,2264595.0,4500886.0,1774919.0,1286455.0,11445167.0,3882907.0,25528927.0,26755.0,869463.0,5352171.0,8127099.0,6626446.0,4798433.0,6977328.0,5809933.0,59318122.0,59318122.0,65190170.0
226833,2009,Midwestern State University,0.943282139169029,0.9525920873124151,4931.162307,33270305.0,20110219.0,7484568.0,26745047.0,4866258.0,6051890.0,2376889.0,5211143.0,1518588.0,1566223.0,13160086.0,4864132.0,26692500.0,169870.0,872477.0,6548806.0,8876109.0,6774605.0,4775963.0,6751376.0,6508101.0,63193844.0,63193844.0,68180113.0
226833,2010,Midwestern State University,0.9524092017665279,0.9611186903137792,5151.338033,35878083.0,18347537.0,12171244.0,26815845.0,3491801.0,7734365.0,1502062.0,8446147.0,938695.0,2447520.0,17530546.0,5698184.0,33537279.0,607158.0,1051714.0,6724474.0,11732530.0,8289338.0,5311161.0,6911241.0,8852668.0,77706402.0,77706402.0,83624256.9375
226833,2011,Midwestern State University,0.9715334080372641,0.9836289222373811,5223.0,40382554.0,19274154.0,12558523.0,26287924.0,3030962.0,8440923.0,1742205.0,9620750.0,1056850.0,2863111.0,21108400.0,7567689.0,34176912.0,527628.0,949332.0,6055172.0,12147322.0,7502243.0,5642729.0,6279310.0,10743304.0,78381223.0,78381223.0,84927432.0
226833,2012,Midwestern State University,1.0,1.0,4966.0,40566893.0,20779034.0,10376778.0,23951419.0,6722053.0,8334924.0,2870748.0,8782044.0,528181.0,2460583.0,19787859.0,8017051.0,32803754.0,995877.0,1067765.0,6195921.0,11828510.0,7592223.0,5706736.0,6500270.0,8537610.0,75521930.0,75521930.0,82164326.0
227216,2000,University of North Texas,0.7439632632434692,0.671555252387449,21185.293902,84762048.0,59628149.0,17962636.0,132977504.0,12187895.0,25157416.0,6125860.0,7853932.0,838873.0,8097206.0,25133904.0,8343894.0,99574880.0,13454631.0,4223439.0,29719296.0,11911189.0,17350606.0,34830160.0,13433177.0,25133904.0,231820016.0,214801122.0,249631282.0
